Airdate,Season,Episode,Theme,Signature,Signature Time (min),Technical,Technical Time (min),Showstopper,Showstopper Time (min),MyRating (out of 10),MyViewership
9/14/2016,7,4,Batter,Filled Yorkshire Puddings,120,12 Heart-shaped Lace Pancakes,60,36 Churros,180,7.7,45.77
9/21/2016,7,5,Pastry,24 Breakfast Pastries,210,Bakewell Tart,150,48 Filo Amuse-bouche,240,7.9,47.78
9/28/2016,7,6,Botanical,Citrus Meringue Pie,120,2 Herb Fougasse,,Three-tier Flower Cake,,8,48.28
10/5/2016,7,7,Desserts,Family-sized Roulade,90,Marjolaine/Dacquoise,180,24 Mini Mousse Cakes,240,7.7,47.44
10/12/2016,7,8,Tudor,Shaped Savoury Pie,180,12 Jumbles,90,3D Marchpane Cake,210,8.1,47.92
10/19/2016,7,9,Pâtisserie,24 Savoury Palmiers,180,Savarin,150,36 Fondant Fancies,270,8.3,49.41
10/26/2016,7,10,Final,Meringue Crowns,180,Victoria Sandwich (without a Recipe),90,Picnics,300,8.4,57.47
8/29/2017,8,1,Cake,Fruity Cake,120,12 Chocolate Mini Rolls,120,Illusion Cake,240,7.7,35.12
9/5/2017,8,2,Biscuit,24 Sandwich Biscuits,135,12 Fortune Cookies,120,Biscuit Board Games,210,7.8,34.27
9/12/2017,8,3,Bread,12 Teacakes,165,Cottage Loaf,150,Multicoloured Bread Sculpture,270,7.5,30.62
9/19/2017,8,4,Caramel,18 Millionaire Shortbreads,135,12 Stroopwafels,105,Caramel Cake,210,7.8,30.47
9/26/2017,8,5,Pudding,Steamed School Pudding,180,6 Molten Chocolate Puddings,60,Ornamental Trifle Terrine,270,7.4,29.82
10/3/2017,8,6,Pastry,4 Shortcrust Savoury Pies,150,12 Pastéis de Nata,120,Family-sized Hand-raised Pie,240,7.6,31.66
10/10/2017,8,7,Italian,18 Cannolis,150,Pizza Margherita,90,24 Sfogliatelles,270,7.3,32.17
10/17/2017,8,8,Forgotten bakes,4 Bedfordshire Clangers,120,Cumberland Rum Nicky,90,Victorian Savoy Cake,240,7.8,31.23
10/24/2017,8,9,Pâtisserie,24 Choux Buns,150,9 Les Misérables Slices,180,Meringue Centrepiece,285,7.7,32.24
10/31/2017,8,10,Final,12 Small Loaves,180,10 Ginger Biscuits,150,Large Entremet,300,7.9,33.87
8/28/2018,9,1,Biscuit,24 Regional Biscuits,120,8 Wagon Wheels,135,3D Biscuit Self-portrait,240,7.6,34.75
9/4/2018,9,2,Cake,16 Traybakes,120,Le Gateau Vert,135,Chocolate Collar Cake,240,7.4,33.87
9/11/2018,9,3,Bread,12 Chelsea Buns,180,8 Non-yeasted Garlic Naan,60,Korovai,300,7.6,33.74
9/18/2018,9,4,Desserts,Meringue Roulade,105,Raspberry Blancmange with 12 Langues du Chat Biscuits,150,Melting Chocolate Ball Dessert,180,7.5,33.29
9/25/2018,9,5,Spice,Ginger Cake,120,12 Ma'Amoul,90,Spiced Biscuit Chandelier,240,7.6,30.9
10/2/2018,9,6,Pastry,12 Samosas,120,6 Puits D'Amour,120,Shaped Banquet Pie,210,7.3,31.49
10/9/2018,9,7,Vegan,8 Savoury Vegan Tartlets,120,Vegan Tropical Fruit Pavlova,150,Vegan Celebratory Cake,240,7.6,32.92
10/16/2018,9,8,Danish,2 Smørrebrød,210,14 Æbleskiver,60,Kagemand/Kagekone,270,7.5,34.59
10/23/2018,9,9,Pâtisserie,24 Madeleines,90,Torta Setteveli,270,Parisian Pâtisserie Window,300,7.2,33.86
10/30/2018,9,10,Final,12 Iced Doughnuts,180,6 Campfire Pita Breads,90,Landscape Desert,270,7.7,37.76
8/27/2019,10,1,Cake,Fruit Cake,150,6 Angel Cake Slices,105,Birthday Cake,240,7.9,36.79
9/3/2019,10,2,Biscuit,12 Decorated Chocolate Biscuit Bars,150,12 Fig Rolls,90,3D Biscuit Sculpture,240,7.4,35.87
9/10/2019,10,3,Bread,Tear & Share Loaf,180,8 White Burger Baps & 4 Veggie Burgers,150,Decorative Loaf Display,300,7.5,37.16
9/17/2019,10,4,Dairy,Cultured Dairy Cake,,12 Maids of Honour,,Display of Mishti,,7.6,35.27
9/24/2019,10,5,The Roaring Twenties,4 Custard Pies,150,18 Beignet Soufflés,90,Prohibition Era Cake,240,6.8,34.38
10/1/2019,10,6,Desserts,Layered Meringue Cake,165,6 Verrines,150,Celebratory Bombe,270,7.8,33.06
10/8/2019,10,7,Festival,24 Festival Buns,,12 Sicilian Cassatelles,,Kek Lapis Sarawak,,7.7,33.42
10/15/2019,10,8,Pastry,Savoury Tarte Tatin,,Moroccan Pie,,Vertical Pie,,7.6,33.46
10/22/2019,10,9,Pâtisserie,8 Domed Tarts,150,Gâteau Saint Honoré,210,Sugar Glass Display Case,270,7.4,34.01
10/29/2019,10,10,Final,Ultimate Chocolate Cake,120,6 Stilton Soufflés,70,Illusion Picnic Basket Feast,270,7.9,35.52
9/22/2020,11,1,Cake,Battenberg Cake,120,6 Miniature Pineapple Upside-Down Cakes,90,Celebrity Hero Cake Bust,240,7.6,38.02
9/29/2020,11,2,Biscuit,36 Chocolate Florentines,120,12 Hand-shaped Coconut Macaroons,105,3D Biscuit Table Setting,240,7.5,38.21
10/6/2020,11,3,Bread,2 Soda Bread Loaves,105,6 Rainbow-coloured Bagels,165,Large Bread Plaque,210,7.2,37.73
10/13/2020,11,4,Chocolate,18 Chocolate Brownies,90,Chocolate Babka,150,White Chocolate Celebration Cake,240,7.4,37.89
10/20/2020,11,5,Pastry,8 Pasties,120,3 Raspberry Éclairs & 3 Salted Caramel Éclairs,135,Caged Tart,225,7.2,38.3
10/27/2020,11,6,Japanese,8 Steamed Buns,150,Matcha Crepe Cake,120,Kawaii Cake,240,7.3,38.12
11/3/2020,11,7,The '80s,8 Quiches,,6 Custard & Jam Finger Doughnuts,,Ice Cream Cake,,6.8,40.36
11/10/2020,11,8,Desserts,12 Mini Cheesecakes,150,2 Sussex Pond Puddings,150,Jelly Art Design Cake,270,7.6,39.29
11/17/2020,11,9,Pâtisserie,12 Pâte à Savarin,165,Danish Kransekake Cornucopia Cake,135,25 Mini Cube-shaped Cakes,270,7.2,40.21
11/24/2020,11,10,Final,8 Custard Slices,150,8 Walnut Whirls,120,Colossal Dessert Tower,270,7.6,43.22
9/21/2021,12,1,Cake,12 Mini Swill Rolls,120,Malt Loaf,120,Anti-gravity Illusion Cake,240,7.2,33.82
9/28/2021,12,2,Biscuit,24 Brandy Snaps,120,12 Sandwiched Jammy Biscuits,105,3D Childhood Toy,,7.4,32.67
10/5/2021,12,3,Bread,Focaccia,165,15 Cheese and Olive Ciabatta Breadsticks,120,Themed Milk Bread Display,270,7.6,31.62
10/12/2021,12,4,Desserts,Pavlova,165,4 Sticky Toffee Puddings,90,Joconde Imprime Dessert,270,7.4,31.51
10/19/2021,12,5,German,24 German Biscuits,135,Prinzregententorte,165,Yeast Leavened Cake,270,7.5,31.72
10/26/2021,12,6,Pastry,Chouxnuts,,Large Baklava,165,Terrine Pie,270,7.7,32.95
11/2/2021,12,7,Caramel,Caramel Tart,150,10 Caramel Biscuit Bars,90,Domed or Sphered Caramel Dessert,270,7.2,34.88
11/9/2021,12,8,Free-from,8 Dairy-free Ice Cream Sandwiches,180,8 Vegan Sausage Rolls,120,Gluten-free Celebration Cake,270,7.4,34.34
11/16/2021,12,9,Pâtisserie,8 Pâtisserie-style Layered Slices,180,8 Pâtisserie-style Layered Slices,165,Themed Banquet Display,300,7.4,33.52
11/23/2021,12,10,Final,Carrot Cake,135,12 Belgian Buns,150,Mad Hatter Tea Party Display,270,8,36.02
9/13/2022,13,1,Cake,12 Mini Sandwich Cakes,120,Red Velvet Cake,120,3D Cake Home,240,7.8,30.82
9/20/2022,13,2,Biscuit,18 Decorative Macarons,120,12 Garibaldi Biscuits,105,3D Biscuit Mask,240,7.7,29.06
9/27/2022,13,3,Bread,2 Pizzas,120,Pain aux Raisins,165,Smörgåstårta,270,7.9,27.56
10/4/2022,13,4,Mexican,12 Pan Dulce,150,Steak Tacos,120,Tres Leches Cake,240,6.6,29.09
10/11/2022,13,5,Desserts,8 Steamed Puddings,120,Lemon Meringue Pie,120,Hidden Surprise Mousse Dessert,270,7.6,26.4
10/18/2022,13,6,Halloween,Apple Cake,120,S'Mores,120,Edible Hanging Halloween Piñata Lantern,240,7.3,27.42
10/25/2022,13,7,Custard,Floating Islands,90,Pistachio and Praline Ice Cream,165,Custard Gâteau,240,7,27.33
11/1/2022,13,8,Pastry,12 Sweet Vol-au-Vents,120,Spring Rolls,80,3D Storybook Pie Scene,240,7.3,26.14
11/8/2022,13,9,Pâtisserie,Mini Charlottes,150,"Chocolate, Hazelnut, & Raspberry Vertical Tarts",120,Krokan,240,7.5,28.04
11/15/2022,13,10,Final,Seasonal Picnic,180,Summer Pudding Bomb,120,Large Planet Themed Edible Sculpture,270,7,28.15
9/26/2023,14,1,Cake,Vertical Layer Cake,,The Signature Chocolate Cake with Fresh Raspberries,120,3D Shaped Animal Cake,240,8,28.55
10/3/2023,14,2,Biscuits,12 Marshmallow Biscuits,,12 Custard Creams,90,Illusion Biscuit Meal,240,8.1,29.27
10/10/2023,14,3,Bread,Cottage Loaf,120,8 Devonshire Splits,,Plaited Centrepiece Loaf,,7.7,34.73
10/18/2023,14,4,Chocolate,Chocolate torte,,6 White Chocolate and Blackberry Cheesecakes,,Edible Chocolate Box Cake,,7.8,32.01
10/24/2023,14,5,Pastry,Savoury Picnic Pie,,Dauphinoise Pithivier,165,Decorative Sweet Pie Display,,8,31.91
10/31/2023,14,6,Botanical,12 Individual Spiced Buns,165,Lemon and Thyme Drizzle Cake,90,Floral Dessert,240,7.8,33.66
11/7/2023,14,7,Desserts,8 Creme Caramels,165,Orange and Ginger Treacle Puddings,90,Meringue Bombe,,7.9,34.69
11/14/2023,14,8,Party,12 Sausage Rolls,150,Caterpiller Cake,150,Anything But Beige Buffet,270,8.1,39.12
11/21/2023,14,9,Patisserie,24 Financiers,120,Tart aux Pommes,150,Millefoglie,240,8,38.59
11/28/2023,14,10,Final,8 Éclairs,135,9 Lardy Cake Slices,180,Tiered Celebration Cake,270,8.5,44.87
